"source_file","source_path","script","dataset","model","qaw_ratio","sample_idx","chunk_num","method_key","method","f1","total_s","ttft_s","recomputed_tokens","true_recompute","dataset_label","dataset_score_label","model_label","qaw_ratio_label"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,38,10,"query_aware","Query-Aware",0,1.36800161800056,0.458095957999831,3661,TRUE,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,38,10,"full_prefill","Full Prefill",0,0.512387162001687,0.361552615000619,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,39,10,"full_reuse","Full Reuse",0,1.15650981399995,0.246157998999479,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,39,10,"query_aware","Query-Aware",0.571428571428572,1.38562365899998,0.448172276999685,3544,TRUE,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,39,10,"full_prefill","Full Prefill",0,0.884190889999445,0.353997051999613,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,40,10,"full_reuse","Full Reuse",0,1.15766401800101,0.245707079000567,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,40,10,"query_aware","Query-Aware",0,0.650183526999172,0.449620734998462,3510,TRUE,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,40,10,"full_prefill","Full Prefill",0,1.26770030999978,0.354732137999235,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,41,10,"full_reuse","Full Reuse",0,1.14825918799943,0.245586111999728,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,41,10,"query_aware","Query-Aware",0,1.35362165600054,0.450482189000468,3541,TRUE,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,41,10,"full_prefill","Full Prefill",0.37037037037037,1.26200268100001,0.355372871999862,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,42,10,"full_reuse","Full Reuse",0.285714285714286,1.17142860400054,0.252620244000354,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,42,10,"query_aware","Query-Aware",0.25,0.657441024999571,0.478386478000175,4033,TRUE,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
