"qaw_ratio","group_count","avg_f1_retention","avg_speedup_vs_prefill","avg_latency_overhead_pct","avg_query_aware_f1","avg_query_aware_total_s","avg_balanced_score"
0,6,0.590804529650747,1.96057289543951,-35.8531312808949,0.17141230622348,1.09312940469493,0.847724331837025
0.05,6,0.475272417327949,1.76502836111514,-33.1723439330252,0.141790880919389,1.20697725444981,0.783906179931562
0.1,6,0.489523767982562,1.66726580528396,-30.0249427807643,0.148227223288551,1.24303858604327,0.779627902444133
0.15,6,0.528207505153855,1.55194662745409,-27.1353487613186,0.157071983669802,1.3072324042317,0.802344514143443
0.2,6,0.56130396478779,1.50859866133572,-25.9997995137606,0.166037493667605,1.34888427261497,0.829247388205018
0.25,6,0.584063903151763,1.42075814901485,-23.0489618167947,0.172967999274307,1.42140353496508,0.834298828785402
0.3,6,0.681638712671451,1.33145430332206,-18.2752252900028,0.198592579927487,1.51727521930836,0.877543457947993
0.35,6,0.761437333764768,1.2628732176724,-14.9850861870574,0.21803924050395,1.58393876823816,0.921357654548917
0.4,6,0.752403613302308,1.2120955119866,-11.8531132140989,0.2216952152231,1.61801388220657,0.90880928342993
0.45,6,0.819117927460354,1.14538046445124,-7.67053986272581,0.242722317421816,1.68770665995165,0.933309815407163
0.5,6,0.763359128798607,1.12315838645971,-6.42867996890275,0.227119663192451,1.72020330357833,0.889288868979995
0.55,6,0.807734879555778,1.09478654652203,-4.4687146660426,0.237065820550148,1.7659653354184,0.908202962993968
0.6,6,0.84364894957525,1.0589174479593,-1.93729365332838,0.244642572724291,1.82830627204505,0.918992924009667
0.65,6,0.857802991156127,1.0342407436947,-0.53324706602935,0.249929362910918,1.87544856388161,0.919556204544627
0.7,6,0.871045452061787,1.02101136608999,0.485559878391432,0.257016112804226,1.87503537630672,0.923533521971659
0.75,6,0.885228885610564,1.01352119690626,2.0605519329872,0.258494632112005,1.92116954304496,0.930131194564057
0.8,6,0.880920527933823,0.988682657626949,4.43523269716489,0.260273319174868,1.98825740639835,0.918637273326417
0.85,6,0.829399828061153,0.966358765952123,7.02674423664606,0.241484543996174,2.04296140306002,0.877335456322992
0.9,6,0.913096336498541,0.954251619821284,8.67744029083664,0.266442650769789,2.09918095456166,0.927500685661501
0.95,6,0.849761382155238,0.931184242503244,11.6979859195239,0.251689974117919,2.15943437358,0.87825938327704
1,6,0.939260557466004,0.926669444073344,14.0708778073983,0.279993826021186,2.22834842750821,0.934853667778573
