"source_file","source_path","source_bucket","script","dataset","file_label","is_curve","baseline_only","baseline_mode","baseline_group_key","sample_idx","method","ttft_s","total_s","recomputed_tokens","f1","rouge_l","true_recompute","method_group","baseline_source_file","metric_source"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",4,"query_aware",0.481658790999063,0.840474829001323,1923,NA,NA,TRUE,"query_aware",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",5,"full_reuse",0.552485408999928,0.575999205000699,NA,NA,NA,NA,"full_reuse",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",5,"full_prefill",0.755517622998013,0.779630879998876,NA,NA,NA,NA,"full_prefill",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",5,"kv_diff",1.36419922099958,1.38799363900034,613,NA,NA,TRUE,"kv_diff",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",5,"query_aware",0.447090885001671,0.81024432599952,1850,NA,NA,TRUE,"query_aware",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",6,"full_reuse",0.588971586003026,0.613203885000985,NA,NA,NA,NA,"full_reuse",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",6,"full_prefill",0.758612538000307,0.785142731001542,NA,NA,NA,NA,"full_prefill",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",6,"kv_diff",1.3867400099989,1.4113749600001,626,NA,NA,TRUE,"kv_diff",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",6,"query_aware",0.451305274997139,0.810028729996702,1889,NA,NA,TRUE,"query_aware",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",7,"full_reuse",0.596635294998123,0.621225677998154,NA,NA,NA,NA,"full_reuse",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",7,"full_prefill",0.823605720997875,0.848132634000649,NA,NA,NA,NA,"full_prefill",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",7,"kv_diff",1.45699891500044,1.48158150400195,644,NA,NA,TRUE,"kv_diff",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",7,"query_aware",0.482052747000125,0.855624422998517,1947,NA,NA,TRUE,"query_aware",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",8,"full_reuse",0.610058428999764,0.774347579001187,NA,NA,NA,NA,"full_reuse",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",8,"full_prefill",0.787120982000488,0.94382234799923,NA,NA,NA,NA,"full_prefill",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",8,"kv_diff",1.43259424599819,1.59237364000001,635,NA,NA,TRUE,"kv_diff",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",8,"query_aware",0.454358417999174,0.478772334001405,1916,NA,NA,TRUE,"query_aware",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",9,"full_reuse",0.548826305999683,0.740739177999785,NA,NA,NA,NA,"full_reuse",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",9,"full_prefill",0.703600631000882,0.890916692998871,NA,NA,NA,NA,"full_prefill",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",9,"kv_diff",1.29189171399776,1.47886765099975,573,NA,NA,TRUE,"kv_diff",NA,"native"
"202604150012_blend.output","/Users/doppler/Documents/Github/CacheBlend/outputs/useful/202604150012_blend.output","useful","example/blend.py","blend_demo","blend",FALSE,FALSE,"native","blend_demo|count=10|max_new_tokens=10|temperature=0|top_p=1|model=/root/models/Yi-6B",9,"query_aware",0.434212791999016,0.62063659100022,1725,NA,NA,TRUE,"query_aware",NA,"native"
